ra,dec,ebv
-180.0,-90.0,0.15808768483899882
-178.19095477386935,-90.0,0.15808768483899882
-176.3819095477387,-90.0,0.15808768483899882
-174.57286432160805,-90.0,0.15808768483899882
-172.76381909547737,-90.0,0.15808768483899882
-170.95477386934672,-90.0,0.15808768483899882
-169.14572864321607,-90.0,0.15808768483898064
-167.33668341708542,-90.0,0.15808768483898064
-165.52763819095478,-90.0,0.15808768483898064
-163.71859296482413,-90.0,0.15808768483898064
-161.90954773869348,-90.0,0.15808768483898064
-160.1005025125628,-90.0,0.15808768483898064
-158.29145728643215,-90.0,0.15808768483898064
-156.4824120603015,-90.0,0.15808768483898064
-154.67336683417085,-90.0,0.15808768483898064
-152.8643216080402,-90.0,0.15808768483898064
-151.05527638190955,-90.0,0.15808768483898064
-149.2462311557789,-90.0,0.15808768483898064
-147.43718592964825,-90.0,0.15808768483898064
-145.6281407035176,-90.0,0.15808768483898064
-143.81909547738692,-90.0,0.15808768483898064
-142.01005025125627,-90.0,0.15808768483898064
-140.20100502512562,-90.0,0.15808768483898064
-138.39195979899498,-90.0,0.15808768483898064
-136.58291457286433,-90.0,0.15808768483898064
-134.77386934673368,-90.0,0.15808768483898064
-132.964824120603,-90.0,0.15808768483898064
-131.15577889447235,-90.0,0.15808768483898064
-129.3467336683417,-90.0,0.15808768483898064
-127.53768844221105,-90.0,0.15808768483898064
-125.7286432160804,-90.0,0.15808768483898064
-123.91959798994975,-90.0,0.15808768483898064
-122.1105527638191,-90.0,0.15808768483898064
-120.30150753768844,-90.0,0.15808768483898064
-118.49246231155779,-90.0,0.15808768483898064
-116.68341708542712,-90.0,0.15808768483898064
-114.87437185929647,-90.0,0.15808768483898064
-113.06532663316582,-90.0,0.15808768483898064
-111.25628140703517,-90.0,0.15808768483898064
-109.44723618090453,-90.0,0.15808768483898064
-107.63819095477386,-90.0,0.15808768483898064
-105.82914572864321,-90.0,0.15808768483898064
-104.02010050251256,-90.0,0.15808768483898064
-102.21105527638191,-90.0,0.15808768483898064
-100.40201005025125,-90.0,0.15808768483898064
-98.5929648241206,-90.0,0.15808768483898064
-96.78391959798995,-90.0,0.15808768483898064
-94.9748743718593,-90.0,0.15808768483898064
-93.16582914572864,-90.0,0.15808768483898064
